Campaign_Name,Campaign_Objective,Campaign_Interaction_Type,Campaign_Conversion_Type,Campaign_Brand,Campaign_Brand_Type,Campaign_Sector,Campaign_Subsector,Campaign_Served_Country,Campaign_ID,Campaign_KPI,Campaign_Audience,Campaign_Duration,Campaign_Seasonality_Target,Client_Name,Client_Region,Client_Sector,Client_Relationship,Source_game_key,,Source_url,,Source_full_url,Ad_Type,Ad_Interaction,Ad_Build_Type,Ad_Video,Ad_Slideshow,Ad_target_audience,Ad_environment,Ad_format,Ad_KPI,Ad_eng_rate,Ad_eng_rate_>_benchmark,Ad_CTR,Ad_CTR_ >_ benchmark,Ad_VTR,Ad_VTR_>_benchmark,Ad_Interaction_changes,Ad_interaction_type_new,Ad_margins,Ad_BIO_recency
"ING PH 
(workout)
5253567295c835b8f986cc183b89de34",,,,,,Financial,,,,,,,,,,,,,https://wat.adludio.com/games/,5253567295c835b8f986cc183b89de34/d0d2ae57956b2dd4e41b,/game.js,https://wat.adludio.com/games/5253567295c835b8f986cc183b89de34/d0d2ae57956b2dd4e41b/game.js,,➡️ Swipe right,standard,YES,YES,"Gym go'ers
adults
A18-30",Display,Full Screen,Engagement rate and CTR,20.83%,YES,5.62%,YES,22.56%,NO,YES,Increased clickable area,,
"ING PH 
(workout)
80100ec1847578e7df1f2f9b349bbce6",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,80100ec1847578e7df1f2f9b349bbce6/601abeffc062fba05894,/game.js,https://wat.adludio.com/games/80100ec1847578e7df1f2f9b349bbce6/601abeffc062fba05894/game.js,,,,,,,,MPU,,,,,,,,,,,
"ING PH 
(photography)
C5d9c16d0371080adda9f218a19a7642",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,c5d9c16d0371080adda9f218a19a7642/0caba52f3cf75988f608,/game.js,https://wat.adludio.com/games/c5d9c16d0371080adda9f218a19a7642/0caba52f3cf75988f608/game.js,,,,,,,,MPU,,,,,,,,,,,
"Uniqlo 
(Mickey)",,,,,,Fashion,,,,,,,,,,,,,https://wat.adludio.com/games/,efde6ccb172731c0f3b802acc231cd35/877731864f8ae5caad7f,/game.js,https://wat.adludio.com/games/efde6ccb172731c0f3b802acc231cd35/877731864f8ae5caad7f/game.js,,⬆️ Swipe up ,standard,–,YES,"MF A16-35 
Interested in Mickey, Uniqlo, Disney",,Full Screen,,,,,,,,,,84.87%,
"JW Marriott Treatment
27db7e57ac643ec8b72012223e64ea09",,,,,,Tourism,,,,,,,,,,,,,https://wat.adludio.com/games/,27db7e57ac643ec8b72012223e64ea09/c33ce1c70bd719d7d682,/game.js,https://wat.adludio.com/games/27db7e57ac643ec8b72012223e64ea09/c33ce1c70bd719d7d682/game.js,,⦿👆Tap,standard,YES,–,"Couples
Rich families ",Display,Full Screen,Engagement rate and CTR,20.65%,Yes,13.52%,Yes,41.03%,Yes,,,90.64%,
Jwmarriott Treatment Bio Mob,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-jwmarriott-treatment-bio-mob/cdb9dfc35785ca9e9645,/game.js,https://wat.adludio.com/games/adunit-jwmarriott-treatment-bio-mob/cdb9dfc35785ca9e9645/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"JW Marriott Treatment
093e1edf4ca6cc7174bf00218b2c0487",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,093e1edf4ca6cc7174bf00218b2c0487/b5d8e70e9093527737e0,/game.js,https://wat.adludio.com/games/093e1edf4ca6cc7174bf00218b2c0487/b5d8e70e9093527737e0/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"JW Marriott Treatment
B24d49dd651a5e3d8ea69af5dd4645cf",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,b24d49dd651a5e3d8ea69af5dd4645cf/3fe354fa6b0d5bf2c7b7,/game.js,https://wat.adludio.com/games/b24d49dd651a5e3d8ea69af5dd4645cf/3fe354fa6b0d5bf2c7b7/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"JW Marriott Treatment
6bdcd79f01cf47656572244068c2790b",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,6bdcd79f01cf47656572244068c2790b/d60c33d9222f405540a3,/game.js,https://wat.adludio.com/games/6bdcd79f01cf47656572244068c2790b/d60c33d9222f405540a3/game.js,,,,,,,,MPU,,,,,,,,,,,
"JW Marriott Treatment
742700602f7eeeba98831557d8208c20",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,742700602f7eeeba98831557d8208c20/df055c4dd26b6413bd69,/game.js,https://wat.adludio.com/games/742700602f7eeeba98831557d8208c20/df055c4dd26b6413bd69/game.js,,,,,,,,MPU,,,,,,,,,,,
Jwmarriott Treatment Bio Mob DK,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-jwmarriott-treatment-bio-mob-DK/3318d7d55f189f2a6bcf,/game.js,https://wat.adludio.com/games/adunit-jwmarriott-treatment-bio-mob-DK/3318d7d55f189f2a6bcf/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Jwmarriott Treatment Bio Mob ITL,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-jwmarriott-treatment-bio-mob-ITL/13ab694d10cf1765da48,/game.js,https://wat.adludio.com/games/adunit-jwmarriott-treatment-bio-mob-ITL/13ab694d10cf1765da48/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"National Arts Council 
SWF",,,,,,"Event, exhibition",,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-sac-singapore-writers-festival-mob/3ad8f06f53e1022d502b,/game.js,https://wat.adludio.com/games/adunit-sac-singapore-writers-festival-mob/3ad8f06f53e1022d502b/game.js,USER CHOISE,⦿👆Tap,non-standard,–,–,"Art Enthusiasts and Non Art Enthusiats
Families & Kids 
Outdoor enthusiasts",Display,Full Screen,Engagement rate and CTR,11.16%,NO,8.97%,YES,,,NO,,81.26%,
MBS Black Tap,,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,,/game.js,,"USER CHOISE +
DOUBLE INTERACTION",⬆️⬇️ Swipe up & down,non-standard,–,–,Travellers,Display,Full Screen,Engagement rate and CTR,20.38%,YES,9.90%,YES,,,NO,,79.66%,
"Red Bull New Editions
Redbull Neweditions Mob Swipe Horizontal",,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-redbull-neweditions-mob-swipe-horizontal/2bfa8576d3dacad4df8c,/game.js,https://wat.adludio.com/games/adunit-redbull-neweditions-mob-swipe-horizontal/2bfa8576d3dacad4df8c/game.js,USER CHOISE,⬅️➡️ Swipe left or right,non-standard,YES,–,"Fans of indie games
Age 16-25",Display,Full Screen,5% - 10% engagemenr rate,19.41%,Yes,2.33%,Yes (at benchmark),N/A,N/A,No,N/A,59.05%,
"Red Bull New Editions
Redbull Neweditions Mob Tiltandtap",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-redbull-neweditions-mob-tiltandtap/40ebf27bbd02fb9bfde8,/game.js,https://wat.adludio.com/games/adunit-redbull-neweditions-mob-tiltandtap/40ebf27bbd02fb9bfde8/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Red Bull New Editions
Bio Redbull Neweditions Mob",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,bio-redbull-neweditions-mob/eebc95a7b12734dee1c2,/game.js,https://wat.adludio.com/games/bio-redbull-neweditions-mob/eebc95a7b12734dee1c2/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Red Bull New Editions
Redbull Neweditions Mob Swipe V2",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-redbull-neweditions-mob-swipe-v2/62e9b0a7f78649d257d5,/game.js,https://wat.adludio.com/games/adunit-redbull-neweditions-mob-swipe-v2/62e9b0a7f78649d257d5/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC Lipstick Day
Mac Lipstickday",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mac-lipstickday/336bd87a1faf12a8a199,/game.js,https://wat.adludio.com/games/adunit-mac-lipstickday/336bd87a1faf12a8a199/game.js,,〰️👈 Scrub,non-standard,–,–,"FEMALES (80%) AND MALES (20%) 
A16-55.",,Full Screen,,,,,,,,,,95.33%,
"MAC Lipstick Day
Mac Lipstickday Es",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mac-lipstickday-es/4c8fd776223f786841c1,/game.js,https://wat.adludio.com/games/adunit-mac-lipstickday-es/4c8fd776223f786841c1/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC Lipstick Day
Mac Lipstickday Palma",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mac-lipstickday-palma/8e14fa3cdf347e27ec92,/game.js,https://wat.adludio.com/games/adunit-mac-lipstickday-palma/8e14fa3cdf347e27ec92/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC Lipstick Day
Mac Lipstickday Lisbon",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mac-lipstickday-lisbon/b25b4d0abbe65fc73627,/game.js,https://wat.adludio.com/games/adunit-mac-lipstickday-lisbon/b25b4d0abbe65fc73627/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC Lipstick Day
Mac Lipstickday Cdg",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mac-lipstickday-cdg/42dcb9aad43b2939570b,/game.js,https://wat.adludio.com/games/adunit-mac-lipstickday-cdg/42dcb9aad43b2939570b/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC Lipstick Day
Mac Lipstickday Fr",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mac-lipstickday-fr/910740ad716042ad6de0,/game.js,https://wat.adludio.com/games/adunit-mac-lipstickday-fr/910740ad716042ad6de0/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Lynx Unity,,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-lynx-unity-snap/0670d28c85f05d254ec8,/game.js,https://wat.adludio.com/games/adunit-lynx-unity-snap/0670d28c85f05d254ec8/game.js,SPIN,🔄 Spin,non-standard,,,"teenagers
A12-18",,Full Screen,,,,,,,,,,,
"Miu Miu
(Christmas 2018)
255b108d934cde168923469df245f318",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,255b108d934cde168923469df245f318/3d14d31752076be04b69,/game.js,https://wat.adludio.com/games/255b108d934cde168923469df245f318/3d14d31752076be04b69/game.js,,➡️ Swipe right,standard,frames ?,–,Females A18-34,Display,Full Screen,Engagement rate and CTR,9.39%,NO,3.33%,NO,,,YES,"Changed to tap interaction and made engageable area half the unit, to increase engagement rate",52.83%,
"Miu Miu
(Christmas 2018)
2a6d9f614e40737c66fbb682ffab5c58",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,2a6d9f614e40737c66fbb682ffab5c58/6b7f4acb6a567732cec4,/game.js,https://wat.adludio.com/games/2a6d9f614e40737c66fbb682ffab5c58/6b7f4acb6a567732cec4/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Aloft 
(Marriott)",,,,,,Tourism,,,,,,,,,,,,,https://wat.adludio.com/games/,8839758af9a3c4d4f71829dbbd1e2da0/a1b741f7b897d367b1ed,/game.js,https://wat.adludio.com/games/8839758af9a3c4d4f71829dbbd1e2da0/a1b741f7b897d367b1ed/game.js,,📳 Shake,standard,–,YES,"Affluent lifestyle & High income leisure 
frequent travellers",Display,Full Screen,Engagement rate and CTR,19.17%,YES,37.58%,YES,,,YES,Decreased clickable area as CTR was too high,88.79%,
"MBS 
Christmas
C33e96adce118573d2e8cd5288b55b65",,,,,,Fashion,,,,,,,,,,,,,https://wat.adludio.com/games/,c33e96adce118573d2e8cd5288b55b65/87a6d4938815f5b43431,/game.js,https://wat.adludio.com/games/c33e96adce118573d2e8cd5288b55b65/87a6d4938815f5b43431/game.js,,➡️ Swipe right,standard,YES,–,"Experience seekers, aspirants 
People searching for Christmas gifts, 
Families, more Parents of children",Display,Full Screen,Engagement rate and CTR,18.96%,YES,1.71%,NO,51.21%,YES,NO,,99.22%,
"MBS 
Christmas
Ed0e0001b1bbd4d91310bf16b389b3a0",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,ed0e0001b1bbd4d91310bf16b389b3a0/616d7412466b77b1ecb5,/game.js,https://wat.adludio.com/games/ed0e0001b1bbd4d91310bf16b389b3a0/616d7412466b77b1ecb5/game.js,,,,,,,,MPU,,,,,,,,,,,
"Danone 
Bledina Variety
Bdf47702f584272ef0191164ace808b4",,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,bdf47702f584272ef0191164ace808b4/c1bbe1ecb17c8820966b,/game.js,https://wat.adludio.com/games/bdf47702f584272ef0191164ace808b4/c1bbe1ecb17c8820966b/game.js,,📳 Shake,non-standard,–,–,"M/F 18-44 with children
affluent lifestyle 
users of healthy suplements ",Display,Full Screen,Engagement,18.82%,Yes,3.81%,Yes,N/A,N/A,No,N/A,86.84%,
"Danone 
Bledina Variety
Bledina Variety Scrub Mob",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-bledina-variety-scrub-mob/142d552b3c89fb92a782,/game.js,https://wat.adludio.com/games/adunit-bledina-variety-scrub-mob/142d552b3c89fb92a782/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Danone 
Bledina Variety
Bledina Swipe To Match Mob",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-bledina-swipe-to-match-mob/c272a4b80a2262bdb75b,/game.js,https://wat.adludio.com/games/adunit-bledina-swipe-to-match-mob/c272a4b80a2262bdb75b/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
C322f41173b7dfc8e431bdc6e5271928",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,c322f41173b7dfc8e431bdc6e5271928/eb91e7488c57b94e70c7,/game.js,https://wat.adludio.com/games/c322f41173b7dfc8e431bdc6e5271928/eb91e7488c57b94e70c7/game.js,,⬅️ Swipe left,standard,–,–,"Women interested in luxury beauty
High income ",Display,Full Screen,Engagement rate and CTR,6.82%,NO,3.83%,NO,,,NO,,,
"Cle de Peau 
Lipstick Cashmere
3e9f782db706e5e5afd33bb84d3ef09b",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,3e9f782db706e5e5afd33bb84d3ef09b/542c99f3e68a398be44d,/game.js,https://wat.adludio.com/games/3e9f782db706e5e5afd33bb84d3ef09b/542c99f3e68a398be44d/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Cle De Peau Viet",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-cle-de-peau-viet/26659274b896b0c7a1b8,/game.js,https://wat.adludio.com/games/adunit-cle-de-peau-viet/26659274b896b0c7a1b8/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
474f7a105fe06cbd0ee5832d3f6f8b36",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,474f7a105fe06cbd0ee5832d3f6f8b36/65749b81af341f6c5c41,/game.js,https://wat.adludio.com/games/474f7a105fe06cbd0ee5832d3f6f8b36/65749b81af341f6c5c41/game.js,,,,,,,,MPU,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Cle De Peau Tw",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-cle-de-peau-tw/e71a0e63a80878ba1333,/game.js,https://wat.adludio.com/games/adunit-cle-de-peau-tw/e71a0e63a80878ba1333/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Cle De Peau Mpu Thai",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-cle-de-peau-mpu-thai/ab9d551900678e3356a1,/game.js,https://wat.adludio.com/games/adunit-cle-de-peau-mpu-thai/ab9d551900678e3356a1/game.js,,,,,,,,MPU,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Cle De Peau Mpu Viet",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-cle-de-peau-mpu-viet/18aa073d0bfdfbe000a9,/game.js,https://wat.adludio.com/games/adunit-cle-de-peau-mpu-viet/18aa073d0bfdfbe000a9/game.js,,,,,,,,MPU,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Cle De Peau Mpu Tw",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-cle-de-peau-mpu-tw/ed3e8901ebd324f0963e,/game.js,https://wat.adludio.com/games/adunit-cle-de-peau-mpu-tw/ed3e8901ebd324f0963e/game.js,,,,,,,,MPU,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
474f7a105fe06cbd0ee5832d3f6f8b36",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,474f7a105fe06cbd0ee5832d3f6f8b36/65749b81af341f6c5c41,/game.js,https://wat.adludio.com/games/474f7a105fe06cbd0ee5832d3f6f8b36/65749b81af341f6c5c41/game.js,,,,,,,,MPU,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Bio Cle De Peau Thai",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-bio-cle-de-peau-thai/864bf638a73ebc466afc,/game.js,https://wat.adludio.com/games/adunit-bio-cle-de-peau-thai/864bf638a73ebc466afc/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Bio Cle De Peau Tw",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-bio-cle-de-peau-tw/19be86585c1ca899dc69,/game.js,https://wat.adludio.com/games/adunit-bio-cle-de-peau-tw/19be86585c1ca899dc69/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
F5cd9cfc2f403b342e00bc47af8feb28",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,f5cd9cfc2f403b342e00bc47af8feb28/2df2e60c8f9437aea7f4,/game.js,https://wat.adludio.com/games/f5cd9cfc2f403b342e00bc47af8feb28/2df2e60c8f9437aea7f4/game.js,,,,,,,,MPU,,,,,,,,,,,
"Cle de Peau 
Lipstick Cashmere
Ca5c9064d8d464be56e4d7a72fedc79d",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,ca5c9064d8d464be56e4d7a72fedc79d/229d4ae1f487bb1cafb9,/game.js,https://wat.adludio.com/games/ca5c9064d8d464be56e4d7a72fedc79d/229d4ae1f487bb1cafb9/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Adidas 
(UltraBoost)",,,,,,Fashion,,,,,,,,,,,,,https://wat.adludio.com/games/,dfc2d51ae4eff6b9fa7e91483e4b874c/5076c86107ba230029fa,/game.js,https://wat.adludio.com/games/dfc2d51ae4eff6b9fa7e91483e4b874c/5076c86107ba230029fa/game.js,,➡️ Swipe right,standard,–,–,"Teenagers 
Adults 16-25",Display,Full Screen,Engagement rate and CTR,18.52%,YES,17.63%,YES,,,YES,Increased clickable area to increase CTR,85.76%,
"Home Office
(Fire Kills 2019)
Firekills Mob 2019",,,,,,Governement,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-firekills-mob-2019/49fbb3b8d2e7b8b37c22,/game.js,https://wat.adludio.com/games/adunit-firekills-mob-2019/49fbb3b8d2e7b8b37c22/game.js,,⬅️ Swipe left,non-standard,YES,–,"Targeting Older people, men 35-54,
single parents, A16-24 and smokers",Display,Full Screen,Clicks,18.47%,Yes,9.16%,Yes,65.57%,Yes,No,N/A,89.04%,
"Home Office
(Fire Kills 2019)
Firekills Mob 2019 Plug",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-firekills-mob-2019-plug/27d47bcad585020aa4fe,/game.js,https://wat.adludio.com/games/adunit-firekills-mob-2019-plug/27d47bcad585020aa4fe/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Home Office
(Fire Kills 2019)
Firekills Mob 2019 Cooking",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-firekills-mob-2019-cooking/ca86ce9537553258f221,/game.js,https://wat.adludio.com/games/adunit-firekills-mob-2019-cooking/ca86ce9537553258f221/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Levis
Mad",,,,,,Fashion,,,,,,,,,,,,,https://wat.adludio.com/games/,0e88949bd885d4d7e89478eb179b8857/bb4fa90ca3a6987a6887,/game.js,https://wat.adludio.com/games/0e88949bd885d4d7e89478eb179b8857/bb4fa90ca3a6987a6887/game.js,,🔘 Press & Hold,standard,YES,–,"Teenagers 
contempory fashion ",Display,Full Screen,Drive traffic to landing page (Instagram),18.46%,Yes,2.26%,No,57.70%,Yes,No,N/A,87.76%,
"Estee Lauder 
(Holiday) Heathrow
Estee Lauder Holiday Heathrow",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-heathrow/3f4d7996f952fa29f66e,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-heathrow/3f4d7996f952fa29f66e/game.js,,➡️ Swipe right,standard,–,–,"FEMALES (70%) 
MALES (30%), AGED 18+",Display,Full Screen,Engagement rate,18.39%,Yes,,,,,,,86.00%,
"Estee Lauder 
(Holiday) Amsterdam",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-amsterdam/04ea553ae16c45dd7f7d,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-amsterdam/04ea553ae16c45dd7f7d/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) CDG",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-cdg/e79dd4ff08d79ae64bdd,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-cdg/e79dd4ff08d79ae64bdd/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Dubai",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-dubai/833ab776ee4e0b7c977e,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-dubai/833ab776ee4e0b7c977e/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Gatwick",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-gatwick/a5ec6a453f41b5bc0eee,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-gatwick/a5ec6a453f41b5bc0eee/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Manchester",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-manchester/1affab3cedb8f7b1c646,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-manchester/1affab3cedb8f7b1c646/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday)
99b029ca2366bf43dd92eb011e72bc0a",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,99b029ca2366bf43dd92eb011e72bc0a/d27d9cfdf74d5b38c47c,/game.js,https://wat.adludio.com/games/99b029ca2366bf43dd92eb011e72bc0a/d27d9cfdf74d5b38c47c/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday)
E86c1bca8e367c9af40d195e70df809d",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,e86c1bca8e367c9af40d195e70df809d/f5e0d5d27a5e8862f3c4,/game.js,https://wat.adludio.com/games/e86c1bca8e367c9af40d195e70df809d/f5e0d5d27a5e8862f3c4/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday)
8d33cdc0291ebf4cc215f672a8b0841e",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,8d33cdc0291ebf4cc215f672a8b0841e/96e5e0c7466262ff08ab,/game.js,https://wat.adludio.com/games/8d33cdc0291ebf4cc215f672a8b0841e/96e5e0c7466262ff08ab/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday)
F57953f569c0bdf53bff318262d3a1d4",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,f57953f569c0bdf53bff318262d3a1d4/e22dbb763476052d8073,/game.js,https://wat.adludio.com/games/f57953f569c0bdf53bff318262d3a1d4/e22dbb763476052d8073/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday)
E86c1bca8e367c9af40d195e70df809d",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,e86c1bca8e367c9af40d195e70df809d/f5e0d5d27a5e8862f3c4,/game.js,https://wat.adludio.com/games/e86c1bca8e367c9af40d195e70df809d/f5e0d5d27a5e8862f3c4/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Arabic Heathrow",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-arabic-heathrow/ea2c4e57a3848bfaa1b6,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-arabic-heathrow/ea2c4e57a3848bfaa1b6/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Arabic Istanbul",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-arabic-istanbul/254b7881aeb4dc90bff5,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-arabic-istanbul/254b7881aeb4dc90bff5/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Arabic Gatwick",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-arabic-gatwick/05aaf9e82dcbda3dc31d,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-arabic-gatwick/05aaf9e82dcbda3dc31d/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) Arabic Dubai",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-arabic-dubai/1def152164f599cfa15b,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-arabic-dubai/1def152164f599cfa15b/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Estee Lauder 
(Holiday) ArabicAbuDhabi",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-estee-lauder-holiday-arabic-abudhabi/12eff8b3988ffcd634c3,/game.js,https://wat.adludio.com/games/adunit-estee-lauder-holiday-arabic-abudhabi/12eff8b3988ffcd634c3/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Miu Miu 
Fleur D’Argent",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,02dc43c798e6894dc50f9495122bdb9a/26e7606e322662e0e1da,/game.js,https://wat.adludio.com/games/02dc43c798e6894dc50f9495122bdb9a/26e7606e322662e0e1da/game.js,,📳 Shake,standard,–,–,"Females A18-34
the contemporary sexy woman, young 
experimental and edgy",,Full Screen,,,,,,,,,,68.65%,
"Lego 
(A World of Imagination)
96d751d30fc90f6a4277091230984253",,,,,,Toys & Games,,,,,,,,,,,,,https://wat.adludio.com/games/,96d751d30fc90f6a4277091230984253/3e8188452338c911529f,/game.js,https://wat.adludio.com/games/96d751d30fc90f6a4277091230984253/3e8188452338c911529f/game.js,,📳 Shake,standard,YES,–,"Fans of Lego
Children aged 5-12",Display,Full Screen,Engagement,18.24%,Yes,48.40%,Yes,71.54%,YES,No,,82.40%,
